# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13] c_myRDF[14] c_myRDF[15] c_myRDF[16] c_myRDF[17] c_myRDF[18] c_myRDF[19] c_myRDF[20] c_myRDF[21]
1000 20
14 6.75 1.0471 5.81512 0.572732 13.955 2.82008 16.2347 0.168428 7.9992 0.0257186 8 0.660427 4.78568 0.225535 4.25758 1.24786 4.77236 0.926372 17.467 0.997059 16.7421
15 7.25 0.138157 5.99593 1.05029 18.0815 2.86731 27.503 0.000609033 8 0 8 1.6013 6.88333 1.59112 6.3419 0.746389 5.7501 0.83983 20.7674 1.04337 20.8424
16 7.75 0.00282232 6.00015 1.69181 25.6765 0.519831 29.8371 0 8 0 8 1.31421 8.85044 2.10124 9.48701 0.846626 7.01731 0.940486 24.9905 0.976901 25.2291
17 8.25 0.216544 6.36715 0.905499 30.2828 0.0360182 30.0204 0 8 0 8 1.21925 10.9184 1.22667 11.5675 1.24928 9.1362 1.0068 30.1134 1.05072 30.5754
18 8.75 3.5669 13.1674 1.15773 36.9075 0.320809 31.8565 0.0151304 8.02886 0.000216599 8.00041 0.78759 12.421 0.324365 12.1864 1.49324 11.9851 1.13206 36.5928 1.167 37.2547
19 9.25 2.15628 17.7612 0.991345 43.2467 2.16272 45.6897 0.49651 9.08741 0.0908849 8.19418 0.63778 13.7807 0.572746 13.4075 1.39997 14.9699 1.0095 43.0497 0.873827 42.8439
20 9.75 0.100629 17.9994 1.0074 50.4036 1.72656 57.9589 1.83407 13.4319 1.48443 11.7104 0.88929 15.8872 1.08205 15.9705 1.13188 17.651 0.670373 47.8134 0.647817 47.4473
6000 20
1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
