# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13] c_myRDF[14] c_myRDF[15] c_myRDF[16] c_myRDF[17] c_myRDF[18] c_myRDF[19] c_myRDF[20] c_myRDF[21]
1000 20
3 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.253272 0.0955855 0.000126125 4.7619e-05
6 2.75 0 0 0 0 1.48237 0.834593 0 0 0 0 0 0 0 0 0 0 1.06822 0.697024 0.278487 0.156845
7 3.25 0 0 0 0 5.93877 5.50108 0 0 0 0 0.479356 0.125553 0.0264156 0.00691885 0 0 0.975376 1.46343 1.46198 1.30561
8 3.75 0 0 0.0101713 0.0106322 0.464259 5.98649 1.6741e-05 5.8309e-06 0 0 2.63347 1.04342 1.57514 0.55592 1.46543e-05 5.10204e-06 1.69878 3.23971 1.72815 3.11259
9 4.25 0 0 2.931 3.94485 0.00998625 5.99989 0.0813466 0.0364118 0.0122977 0.00550437 1.77738 1.83886 3.34578 2.05326 0.00580621 0.0026035 1.50383 5.25874 1.56103 5.20842
10 4.75 0 0 2.3199 7.83366 6.39941e-05 6 2.41994 1.38895 1.63842 0.921232 1.69261 2.78486 2.19539 3.28027 0.148382 0.0855394 1.03242 6.98979 1.35588 7.48183
11 5.25 0 0 0.211575 8.26681 0 6 4.04019 4.1469 4.7906 4.19146 1.36818 3.71884 0.867057 3.87215 0.765696 0.608245 0.939892 8.91462 1.09861 9.73171
12 5.75 0.677135 0.553958 0.383576 9.20875 0.00127038 6.00312 2.22911 5.97201 2.9432 6.60127 0.323995 3.9841 0.15171 3.99636 1.45106 1.79629 0.908112 11.1452 0.733773 11.534
13 6.25 3.90434 4.32778 0.849556 11.6734 0.320269 6.9324 1.73776 7.65289 1.34509 7.90228 0.0500404 4.0325 0.00822136 4.00431 1.62296 3.36608 1.00795 14.07 0.607994 13.2983
14 6.75 1.4042 5.91067 0.742707 14.1863 2.53709 15.5189 0.303534 7.99527 0.0864926 7.99984 0.55041 4.65344 0.229487 4.2632 1.20563 4.72619 0.941569 17.2566 1.00227 16.6903
15 7.25 0.0685997 5.99986 1.06528 18.3442 2.92151 26.9247 0.00363164 8 0.000121605 8 1.6998 6.86546 1.58449 6.32519 0.713195 5.65433 0.906339 20.795 1.03821 20.7436
16 7.75 0.000465306 6.00055 1.40437 24.6075 0.654896 29.846 0 8 0 8 1.41085 8.96334 2.07161 9.40559 0.820818 6.87485 0.953431 25.0481 0.976555 25.0999
17 8.25 0.214716 6.36205 1.07985 30.0646 0.0446803 30.0718 6.18877e-05 8.0001 0 8 1.0706 10.7673 1.15726 11.3555 1.25975 8.99744 0.969132 29.947 1.05029 30.4089
18 8.75 3.60403 13.1879 1.21958 36.9973 0.462712 32.7026 0.016955 8.03224 0.000292638 8.00055 0.773878 12.234 0.422455 12.1562 1.60242 12.0345 1.09177 36.1547 1.10651 36.7005
19 9.25 1.9428 17.2999 0.96795 43.1463 1.80495 44.1719 0.360985 8.79683 0.0907835 8.19283 0.696043 13.7082 0.580335 13.3853 1.41505 15.0317 1.01918 42.6307 0.907155 42.4647
20 9.75 0.291687 17.9857 0.90811 49.5556 1.81735 57.0014 1.77056 12.9633 1.38234 11.4457 0.920226 15.8737 1.04836 15.8523 1.04303 17.4861 0.721885 47.7268 0.700518 47.4099
7000 20
1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.270402 0.101604 8.84918e-05 3.32847e-05
6 2.75 0 0 0 0 1.56151 0.875291 0 0 0 0 0 0 0 0 0 0 1.0791 0.706509 0.279699 0.156827
7 3.25 0 0 0 0 5.78426 5.40056 0 0 0 0 0.490591 0.127932 0.0274946 0.00716983 0 0 0.9395 1.44152 1.45095 1.29195
8 3.75 0 0 0.0111036 0.0115554 0.5458 5.96872 0 0 0 0 2.62857 1.04009 1.58153 0.556 1.05206e-05 3.64431e-06 1.68614 3.19688 1.73287 3.09596
9 4.25 0 0 2.85269 3.82395 0.02324 5.99977 0.0694206 0.0309366 0.0130064 0.00579592 1.76162 1.82503 3.35364 2.05029 0.00440491 0.0019672 1.51967 5.22827 1.57149 5.1966
10 4.75 0 0 2.36451 7.77022 0.000138568 6 2.27522 1.29704 1.58349 0.886966 1.67997 2.75987 2.13526 3.23847 0.13617 0.0777434 1.05937 6.99675 1.35008 7.45038
11 5.25 0 0 0.264775 8.30993 0 6 4.24663 4.18327 4.88321 4.20586 1.36892 3.69027 0.887785 3.84187 0.762793 0.596195 0.923391 8.87953 1.08633 9.6654
